,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre
5068,Penny Marshall,Columbia,Drama,PG-13,Awakenings,1990-12-22,0,awakenings,1740,Robert De Niro,120,1990,4.53494085924E+11,217412411.688,26268476.6141,1.00020543272,1,Drama
4985,Sam Peckinpah,Fox,Unknown,R,The Osterman Weekend,1983-10-21,0,ostermanweekend,1740,Rutger Hauer,103,1983,58671540069.1,49691430.0387,6104981.7983,1.00020527897,1,Unknown
3981,Hironobu Sakaguchi,Sony / Columbia,Animation,PG-13,Final Fantasy: The Spirits Within,2001-07-11,0,finalfantasy,2649,Ming-Na,108,2001,17479992.6321,75428241.3906,184110671.937,1.00020524283,0,Animation
4020,Roger Michell,Universal,Romantic Comedy,PG-13,Notting Hill,1999-05-28,0,nottinghill,2747,Julia Roberts,124,1999,37427984.88,341844166.861,60000000,1.00020505127,0,Romantic
3752,Gregory Poirier,Sony (Revolution),Comedy,R,Tomcats,2001-03-30,0,tomcats,2617,Jerry O'Connell,95,2001,9815023.58571,31828620.9732,14782608.6957,1.00020496259,0,Comedy
3778,Wes Craven,Universal,Horror,R,My Soul to Take,2010-10-08,0,mysoultotake,2572,Max Thieriot,107,2010,7526442,17840766.35,27286568.5879,1.00020493884,0,Horror
4191,Mark Helfrich,Lionsgate,Romantic Comedy,R,Good Luck Chuck,2007-09-21,0,goodluckchuck,2612,Dane Cook,96,2007,17225613.0265,55749293.7472,6997157.0257,1.0002048599,1,Romantic
4962,Peter Weir,Warner Bros.,Drama,R,Fearless,1993-10-15,0,fearless,1740,Jeff Bridges,122,1993,31807424414.6,30634678.7717,3773518.59746,1.00020473119,1,Drama
4961,Ronny Yu,Warner Bros.,Drama,R,Fearless,1993-10-15,0,fearless,1740,Jet Li,122,1993,31807424414.6,30634678.7717,3773518.59746,1.00020473119,1,Drama
3738,Gordon Chan,TriStar,Action Comedy,PG-13,The Medallion,2003-08-22,0,medallion,2648,Jackie Chan,88,2003,11599193.32,45436025.7208,5702732.55422,1.0002046147,1,Action
4154,Frank Oz,Universal,Comedy,PG-13,Bowfinger,1999-08-13,0,bowfinger,2706,Steve Martin,97,1999,30995335.8,195480326.012,78571428.5714,1.00020444735,0,Comedy
4987,Richard LaGravenese,New Line,Comedy / Drama,R,Living Out Loud,1998-10-30,0,livingoutloud,1740,Holly Hunter,102,1998,56329307813.7,44900093.1181,29202453.9877,1.00020444029,0,Comedy
3874,Howard Deutch,Lionsgate,Romantic Comedy,R,My Best Friend's Girl,2008-09-19,0,mybestfriendsgirl,2604,Dane Cook,101,2008,9988276.48732,28066891.4045,22108377.4959,1.0002042637,0,Romantic
4365,Robert Luketic,Sony / Columbia,Drama,PG-13,21,2008-03-28,0,21,2648,Jim Sturgess,123,2008,29130843.7944,118521330.64,38689660.6178,1.00020418226,0,Drama
5055,David Anspaugh,Orion Pictures,Sports Drama,PG,Hoosiers,1986-11-14,0,hoosiers,1740,Gene Hackman,114,1986,3.29254652337E+11,153833669.086,18567854.6857,1.00020416611,1,Sports
5064,Ron Howard,Universal,Comedy / Drama,R,The Paper,1994-03-18,0,paper,1740,Michael Keaton,112,1994,3.80856263929E+11,170024284.164,20483979.5786,1.00020412925,1,Comedy
4984,Richard Attenborough,TriStar,Period Drama,PG-13,Chaplin,1992-12-25,0,chaplin,1740,Robert Downey,135,1992,52734107195.1,41574036.3979,5099498.89838,1.00020409101,1,Period
4139,Brian De Palma,Paramount,Thriller,R,Snake Eyes,1998-08-07,0,snakeeyes,2713,Nicolas Cage,98,1998,30422391.3783,193404508.578,106588957.055,1.00020402664,0,Thriller
3687,Ed Decter,Sony (Revolution),Comedy,PG-13,The New Guy,2002-05-10,0,newguy,2687,DJ Qualls,100,2002,13325380.5414,65125899.3368,17198443.5798,1.00020402314,0,Comedy
